country,state,city,latitude,longitude
Australia,New South Wales,Calala,-31.17356000,150.98059000
Australia,New South Wales,Callaghan,-32.89205000,151.70531000
Australia,New South Wales,Callala Bay,-34.99668000,150.72281000
Australia,New South Wales,Cambewarra Village,-34.82335000,150.55940000
Australia,New South Wales,Cambridge Gardens,-33.73801000,150.72075000
Australia,New South Wales,Cambridge Park,-33.74784000,150.72208000
Australia,New South Wales,Camden,-34.01610000,150.72521000
Australia,New South Wales,Camden Haven,-31.64484000,152.79462000
Australia,New South Wales,Camden South,-34.08312000,150.69491000
Australia,New South Wales,Cameron Park,-32.90701000,151.60528000
Australia,New South Wales,Cammeray,-33.82132000,151.21609000
Australia,New South Wales,Campbelltown,-34.06667000,150.81667000
Australia,New South Wales,Campbelltown Municipality,-34.08333000,150.83333000
Australia,New South Wales,Camperdown,-33.88965000,151.17642000
Australia,New South Wales,Campsie,-33.91250000,151.10279000
Australia,New South Wales,Canada Bay,-33.86590000,151.11591000
Australia,New South Wales,Canley Heights,-33.88262000,150.92408000
Australia,New South Wales,Canley Vale,-33.88657000,150.94802000
Australia,New South Wales,Canowindra,-33.56247000,148.66434000
Australia,New South Wales,Canterbury,-33.91192000,151.11862000
Australia,New South Wales,Canton Beach,-33.27443000,151.54614000
Australia,New South Wales,Cardiff,-32.94201000,151.65440000
Australia,New South Wales,Cardiff Heights,-32.93626000,151.67227000
Australia,New South Wales,Cardiff South,-32.95470000,151.66446000
Australia,New South Wales,Caringbah,-34.03534000,151.12468000
Australia,New South Wales,Caringbah South,-34.05662000,151.12149000
Australia,New South Wales,Carlingford,-33.78269000,151.04888000
Australia,New South Wales,Carlton,-33.97107000,151.12136000
Australia,New South Wales,Carnes Hill,-33.93846000,150.84881000
Australia,New South Wales,Carramar,-33.88382000,150.96153000
Australia,New South Wales,Carrathool,-33.62571000,145.42523000
Australia,New South Wales,Carrington,-32.91501000,151.76436000
Australia,New South Wales,Carss Park,-33.98667000,151.11734000
Australia,New South Wales,Cartwright,-33.92498000,150.88951000
Australia,New South Wales,Carwoola,-35.37836000,149.32150000
Australia,New South Wales,Casino,-28.85819000,153.04748000
Australia,New South Wales,Castle Cove,-33.78655000,151.20925000
Australia,New South Wales,Castle Hill,-33.73333000,151.00000000
Australia,New South Wales,Castlecrag,-33.79987000,151.22310000
Australia,New South Wales,Castlereagh,-33.68981000,150.67887000
Australia,New South Wales,Casuarina,-28.30042000,153.57064000
Australia,New South Wales,Casula,-33.95222000,150.89949000
Australia,New South Wales,Catalina,-35.73000000,150.18494000
Australia,New South Wales,Catherine Field,-34.00439000,150.77253000
Australia,New South Wales,Caves Beach,-33.10637000,151.64402000
Australia,New South Wales,Cecil Hills,-33.88917000,150.85137000
Australia,New South Wales,Centennial Park,-33.89794000,151.23364000
Australia,New South Wales,Central Darling,-31.77155000,143.62569000
Australia,New South Wales,Cessnock,-32.89391000,151.21234000
Australia,New South Wales,Chain Valley Bay,-33.17241000,151.57143000
Australia,New South Wales,Charlestown,-32.96828000,151.69318000
Australia,New South Wales,Charmhaven,-33.22671000,151.50284000
Australia,New South Wales,Chatswood,-33.80000000,151.18333000
Australia,New South Wales,Chatswood West,-33.79402000,151.16492000
Australia,New South Wales,Cherrybrook,-33.72197000,151.04607000
Australia,New South Wales,Chester Hill,-33.87896000,150.99945000
Australia,New South Wales,Chifley,-33.96696000,151.24221000
Australia,New South Wales,Chinderah,-28.25456000,153.53712000
Australia,New South Wales,Chippendale,-33.88673000,151.19745000
Australia,New South Wales,Chipping Norton,-33.91801000,150.95927000
Australia,New South Wales,Chiswick,-33.84996000,151.13846000
Australia,New South Wales,Chittaway Bay,-33.32769000,151.42971000
Australia,New South Wales,City of Sydney,-33.86778000,151.20844000
Australia,New South Wales,Claremont Meadows,-33.77587000,150.75193000
Australia,New South Wales,Clarence Town,-32.58395000,151.77757000
Australia,New South Wales,Clarence Valley,-29.69444000,152.78156000
Australia,New South Wales,Claymore,-34.04649000,150.81114000
Australia,New South Wales,Clemton Park,-33.92616000,151.10406000
Australia,New South Wales,Clontarf,-33.80554000,151.25367000
Australia,New South Wales,Clovelly,-33.91214000,151.25882000
Australia,New South Wales,Coal Point,-33.04225000,151.61159000
Australia,New South Wales,Cobar,-31.96613000,145.36063000
Australia,New South Wales,Cobbitty,-34.01592000,150.67854000
Australia,New South Wales,Coffs Harbour,-30.17294000,153.03262000
Australia,New South Wales,Coleambally,-34.80388000,145.88036000
Australia,New South Wales,Colebee,-33.72769000,150.84743000
Australia,New South Wales,Coledale,-34.29105000,150.94470000
Australia,New South Wales,Collaroy,-33.73205000,151.30118000
Australia,New South Wales,Collaroy Plateau,-33.72884000,151.29075000
Australia,New South Wales,Colo Vale,-34.40095000,150.48573000
Australia,New South Wales,Colyton,-33.78283000,150.79679000
Australia,New South Wales,Como,-33.99941000,151.06389000
Australia,New South Wales,Concord,-33.84722000,151.10381000
Australia,New South Wales,Concord West,-33.84809000,151.08609000
Australia,New South Wales,Condell Park,-33.92458000,151.01093000
Australia,New South Wales,Condobolin,-33.08877000,147.15139000
Australia,New South Wales,Coniston,-34.45000000,150.88333000
Australia,New South Wales,Connells Point,-33.98827000,151.09094000
Australia,New South Wales,Constitution Hill,-33.79259000,150.97627000
Australia,New South Wales,Coogee,-33.92050000,151.25522000
Australia,New South Wales,Cooks Hill,-32.93244000,151.77114000
Australia,New South Wales,Coolah,-31.82787000,149.71564000
Australia,New South Wales,Coolamon,-34.60046000,147.13707000
Australia,New South Wales,Cooma,-36.23517000,149.12408000
Australia,New South Wales,Coonabarabran,-31.27734000,149.27904000
Australia,New South Wales,Coonamble,-30.86714000,148.29053000
Australia,New South Wales,Cooranbong,-33.07622000,151.45409000
Australia,New South Wales,Cootamundra,-34.64095000,148.02838000
Australia,New South Wales,Copacabana,-33.48692000,151.43587000
Australia,New South Wales,Coraki,-28.99260000,153.28374000
Australia,New South Wales,Cordeaux Heights,-34.44043000,150.83748000
Australia,New South Wales,Corindi Beach,-30.01668000,153.18555000
Australia,New South Wales,Corlette,-32.72014000,152.10846000
Australia,New South Wales,Corowa,-35.99704000,146.38552000
Australia,New South Wales,Corrimal,-34.37864000,150.90356000
Australia,New South Wales,Coutts Crossing,-29.82619000,152.89156000
Australia,New South Wales,Cowra,-33.81138000,148.78346000
Australia,New South Wales,Cranebrook,-33.70610000,150.70940000
Australia,New South Wales,Cremorne,-33.82679000,151.22633000
Australia,New South Wales,Cremorne Point,-33.84008000,151.22698000
Australia,New South Wales,Crescent Head,-31.18870000,152.97301000
Australia,New South Wales,Crestwood,-35.34844000,149.21758000
Australia,New South Wales,Cringila,-34.47131000,150.86755000
Australia,New South Wales,Cromer,-33.73120000,151.26788000
Australia,New South Wales,Cronulla,-34.06251000,151.14961000
Australia,New South Wales,Crookwell,-34.45925000,149.47137000
Australia,New South Wales,Crows Nest,-33.82494000,151.20398000
Australia,New South Wales,Croydon,-33.88333000,151.11667000
Australia,New South Wales,Culburra Beach,-34.92788000,150.75766000
Australia,New South Wales,Culcairn,-35.66669000,147.03845000
Australia,New South Wales,Cumbalum,-28.82250000,153.52840000
Australia,New South Wales,Cundletown,-31.89410000,152.52141000
Australia,New South Wales,Curl Curl,-33.76886000,151.28888000
